"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","List Office Name","Price"
"VAFX2166558","RES","CLS","7563 Sawyer Farm Way","Mclean","Fairfax, VA","3","2/1","Interior Row/Townhouse","02/28/24","Non Subscribing Office (NON1)","$835,135"
"VAFX2164932","RES","CLS","6503 Halls Farm Ln","Mclean","Fairfax, VA","6","7/2","Detached","08/27/24","Samson Properties (SAMP1)","$4,350,540"
"VAFX2166232","RES","CLS","817 Carrie Ct","Mclean","Fairfax, VA","6","5/1","Detached","03/21/24","Long & Foster Real Estate, Inc. (LNG83)","$3,475,000"
"VAFX2166094","RES","CLS","1539 Lincoln Way #204","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","04/02/24","Samson Properties (SAMP1)","$279,000"
"VAFX2166106","RES","CLS","1179 Foxhound Ct","Mclean","Fairfax, VA","4","2/1","Detached","04/15/24","Washington Fine Properties, LLC (WFP4)","$1,525,000"
"VAFX2166214","RES","CLS","8360 Greensboro Dr #211","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","03/08/24","Pearson Smith Realty, LLC (PSTH1)","$384,000"
"VAFX2166012","RES","CLS","8220 Crestwood Heights Dr #519","Mclean","Fairfax, VA","1","1/1","Unit/Flat/Apartment","05/31/24","Keller Williams Realty (KWR21)","$558,000"
"VAFX2166030","RES","CLS","6654 Corner Ln","Mclean","Fairfax, VA","3","3/1","Interior Row/Townhouse","05/28/24","Washington Fine Properties, LLC (WFP1)","$1,345,000"
"VAFX2165626","RES","CLS","7680 Tremayne Pl #107","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","04/05/24","KW United (KWR30)","$240,750"
"VAFX2165826","RES","CLS","1525 Lincoln Way #104","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","03/29/24","Samson Properties (SAMP1)","$360,000"
"VAFX2163576","RES","CLS","8340 Greensboro #606","Mclean","Fairfax, VA","2","1/1","Unit/Flat/Apartment","03/28/24","Metro Homes DMV LLC (MTDV1)","$420,000"
"VAFX2165156","RES","CLS","5802 Bent Twig Rd","Mclean","Fairfax, VA","6","5/1","Detached","04/03/24","McEnearney Associates, Inc. (MCE3)","$1,875,000"
"VAFX2164376","RES","CLS","1650 Silver Hill Dr #2202","Mclean","Fairfax, VA","3","3","Unit/Flat/Apartment","08/19/24","Smith & Schnider LLC (SSSL1)","$2,350,000"
"VAFX2165592","RES","CLS","6602 Fairlawn Drive","Mclean","Fairfax, VA","7","7/2","Detached","09/15/25","Pearson Smith Realty, LLC (PSTH3)","$3,307,776"
"VAFX2165738","RES","CLS","3950 N Dumbarton St","Mclean","Fairfax, VA","8","8/1","Detached","04/03/24","Innovation Properties, LLC (ZOOME1)","$3,925,000"
"VAFX2165482","RES","CLS","851 Canal Dr","Mclean","Fairfax, VA","6","3","Detached","05/07/24","Long & Foster Real Estate, Inc. (LNG83)","$1,720,000"
"VAFX2164660","RES","CLS","1533 Longfellow St","Mclean","Fairfax, VA","7","7/1","Detached","05/16/25","Innovation Properties, LLC (ZOOME1)","$3,544,675"
"VAFX2164098","RES","CLS","8350 Greensboro Dr #926","Mclean","Fairfax, VA","3","2","Penthouse Unit/Flat/Apartment","03/29/24","TTR Sothebys International Realty (TTRS3)","$760,000"
"VAFX2160832","RES","CLS","4078 Rosamora Ct","Mclean","Fairfax, VA","4","3/1","Detached","03/15/24","Samson Properties (SAMP14)","$1,826,000"
"VAFX2165500","RES","CLS","8370 Greensboro Dr #907","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/05/24","Realty ONE Group Capital (ROGC1)","$627,500"
"VAFX2165396","RES","CLS","1205 Crest Ln","Mclean","Fairfax, VA","4","2/2","Detached","06/28/24","TTR Sothebys International Realty (TTRS3)","$2,275,000"
"VAFX2164848","RES","CLS","6813 Tennyson Dr","Mclean","Fairfax, VA","8","5/1","Detached","04/09/24","Weichert, REALTORS (WEI70)","$2,550,000"
"VAFX2157566","RES","CLS","1313 McLean Crest Ct","Mclean","Fairfax, VA","3","4/1","Interior Row/Townhouse","03/15/24","Keller Williams Realty (KWR21)","$1,161,888"
"VAFX2165282","RES","CLS","7599 Sawyer Farm Way #0909","Mclean","Fairfax, VA","3","2/1","End of Row/Townhouse","02/13/24","Non Subscribing Office (NON1)","$920,012"
"VAFX2165278","RES","CLS","7450 Old Maple Sq","Mclean","Fairfax, VA","5","5/2","Detached","04/15/24","Washington Fine Properties, LLC (WFP4)","$3,200,000"
"VAFX2164980","RES","CLS","6521 Byrnes Dr","Mclean","Fairfax, VA","4","4","Detached","02/16/24","Non Subscribing Office (NON1)","$1,450,000"
"VAFX2164616","RES","CLS","1800 Old Meadow Rd #1119","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","04/26/24","KW United (KWR13)","$450,000"
"VAFX2164706","RES","CLS","1530 Spring Gate Dr #9113","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","04/11/24","Keller Williams Capital Properties (KWCP3)","$305,000"
"VAFX2164834","RES","CLS","7100 Westbury Rd","Mclean","Fairfax, VA","6","6/1","Detached","07/19/24","KW Metro Center (KWR17)","$2,900,000"
"VAFX2164790","RES","CLS","7887 Jones Branch Dr #1105","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","05/28/24","The Mayhood Company (MHD1)","$1,824,000"
"VAFX2164780","RES","CLS","7887 Jones Branch Dr #1101","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","03/28/24","The Mayhood Company (MHD1)","$1,748,000"
"VAFX2164776","RES","CLS","7887 Jones Branch Dr #701","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","07/15/24","The Mayhood Company (MHD1)","$1,619,000"
"VAFX2164764","RES","CLS","6900 Fleetwood Rd #412","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","02/15/24","Keller Williams Realty (KWR21)","$2,050,000"
"VAFX2160660","RES","CLS","6421 Linway Ter","Mclean","Fairfax, VA","5","4","Detached","03/19/24","McEnearney Associates, Inc. (MCE3)","$1,600,000"
"VAFX2164578","RES","CLS","1447 Hampton Hill Cir","Mclean","Fairfax, VA","3","3/1","Interior Row/Townhouse","05/17/24","Keller Williams Capital Properties (KWCP3)","$925,000"
"VAFX2161300","RES","CLS","1761 Old Meadow Rd #215","Mclean","Fairfax, VA","3","2/1","Unit/Flat/Apartment","05/07/24","EXP Realty, LLC (EXPY4)","$800,000"
"VAFX2164634","RES","CLS","7887 Jones Branch Dr #901","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","06/14/24","The Mayhood Company (MHD1)","$1,700,000"
"VAFX2164418","RES","CLS","7640 Tremayne Pl #112","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","03/29/24","Redfin Corporation (REFC1)","$253,000"
"VAFX2164398","RES","CLS","6924 Chelsea Rd","Mclean","Fairfax, VA","5","4/1","Detached","03/22/24","Douglas Elliman of Metro DC, LLC (DEMDC1)","$1,912,010"
"VAFX2164108","RES","CLS","6408 Woodsong Ct","Mclean","Fairfax, VA","4","2/1","Detached","03/14/24","Compass (COMPS5)","$1,441,000"
"VAFX2160814","RES","CLS","8301 Woodlea Mill Rd","Mclean","Fairfax, VA","5","5/3","Detached","04/08/24","TTR Sothebys International Realty (TTRS3)","$4,999,000"
"VAFX2164054","RES","CLS","1619 Kirby Rd","Mclean","Fairfax, VA","5","3/1","Detached","03/29/24","Long & Foster Real Estate, Inc. (LNG80)","$1,800,000"
"VAFX2163630","RES","CLS","1350 Monitor Ln","Mclean","Fairfax, VA","5","5/1","Detached","04/19/24","Long & Foster Real Estate, Inc. (LNG83)","$3,200,000"
"VAFX2163818","RES","CLS","7906 Foxhound Rd","Mclean","Fairfax, VA","5","2/2","Detached","03/04/24","Washington Fine Properties, LLC (WFP4)","$1,750,000"
"VAFX2164124","RES","CLS","6508 Halls Farm Ln","Mclean","Fairfax, VA","6","7/2","Detached","08/19/24","Samson Properties (SAMP1)","$4,400,000"
"VAFX2164090","RES","CLS","7640 Tremayne Pl #101","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","03/11/24","Metropol Realty (MTP1)","$360,000"
"VAFX2162730","RES","CLS","8360 Greensboro Dr #202","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","03/29/24","KW Metro Center (KWR9)","$400,000"
"VAFX2164070","RES","CLS","8220 Crestwood Heights Dr #904","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","05/08/24","MCM Realty Company (MAR1)","$1,285,000"
"VAFX2160094","RES","CLS","1807 Franklin Ave","Mclean","Fairfax, VA","6","6/1","Detached","05/17/24","Berkshire Hathaway HomeServices PenFed Realty (PFED36)","$2,450,000"
"VAFX2163716","RES","CLS","8360 Greensboro Dr #816","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","04/03/24","Long & Foster Real Estate, Inc. (LNG83)","$355,000"
"VAFX2164014","RES","CLS","7597 Sawyer Farm Way","Mclean","Fairfax, VA","0","","End of Row/Townhouse","01/30/24","Non Subscribing Office (NON1)","$1,235,940"
