"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","List Office Name","Price"
"VAFX2301446","RES","C/S","8220 Crestwood Heights Dr #1603","Mclean","Fairfax, VA","1","2/0","Penthouse Unit/Flat/Apartment","07/03/26","Long & Foster Real Estate, Inc. (LNG83)","$590,000"
"VAFX2325998","RES","C/S","1633 Dempsey St","Mclean","Fairfax, VA","4","3","Detached","07/03/26","Keller Williams Realty (KWR21)","$1,250,000"
"VAFX2325648","RES","C/S","1407 Woodhurst Blvd","Mclean","Fairfax, VA","4","4/1","Detached","07/02/26","Real Broker, LLC (REKL1)","$2,395,000"
"VAFX2325704","RES","C/S","1313 McLean Crest Ct","Mclean","Fairfax, VA","4","4/1","Interior Row/Townhouse","07/02/26","Keller Williams Realty (KWR21)","$1,265,000"
"VAFX2307562","RES","C/S","7018 Green Oak Dr","Mclean","Fairfax, VA","7","5/1","Detached","07/01/26","Serhant (SERH2)","$3,200,000"
"VAFX2319256","RES","C/S","1316 Alps Dr","Mclean","Fairfax, VA","5","4","Detached","07/01/26","Samson Properties (SAMP1)","$1,999,999"
"VAFX2325090","RES","C/S","1077 Spring Hill Rd","Mclean","Fairfax, VA","4","4/1","Detached","07/01/26","Serhant (SERH2)","$1,850,000"
"VAFX2324504","RES","C/S","8220 Crestwood Heights Dr #105","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","07/01/26","Property Collective (PROPCOL1)","$775,000"
"VAFX2324654","RES","C/S","1716 Macon St","Mclean","Fairfax, VA","4","3","Detached","06/30/26","Samson Properties (SAMP14)","$1,675,000"
"VAFX2317716","RES","C/S","1405 Buena Vista Ave","Mclean","Fairfax, VA","5","4/1","Detached","06/25/26","Keller Williams Realty (KWR8)","$2,100,000"
"VAFX2323386","RES","C/S","1800 Old Meadow Rd #1204","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/25/26","Keller Williams Realty (KWR8)","$425,000"
"VAFX2321134","RES","C/S","6526 Byrnes Dr","Mclean","Fairfax, VA","6","6/2","Detached","06/19/26","Focal Point Real Estate , LLC (FPRE1)","$3,195,000"
"VAFX2319254","RES","C/S","7126 Thrasher Rd","Mclean","Fairfax, VA","6","5/2","Detached","06/19/26","Focal Point Real Estate , LLC (FPRE1)","$3,275,000"
"VAFX2319272","RES","C/S","6716 Van Fleet Dr","Mclean","Fairfax, VA","7","6/1","Detached","06/19/26","Focal Point Real Estate , LLC (FPRE1)","$3,095,000"
"VAFX2318732","RES","C/S","8307 Summerwood Dr","Mclean","Fairfax, VA","6","7/2","Detached","06/11/26","Compass (COMPS5)","$7,495,888"
"VAFX2316514","RES","C/S","1444 Kirby Rd","Mclean","Fairfax, VA","7","6/3","Detached","06/01/26","Samson Properties (SAMP6)","$5,999,999"
"VAFX2313546","RES","C/S","6214 Loch Raven Dr","Mclean","Fairfax, VA","6","6/1","Detached","05/28/26","KW Metro Center (KWR9)","$3,499,888"
"VAFX2300652","RES","C/S","8206 Pettit Ct","Mclean","Fairfax, VA","6","7/3","Detached","04/03/26","KW Metro Center (KWR17)","$4,995,000"
"VAFX2298032","RES","C/S","7007 Hector Rd","Mclean","Fairfax, VA","6","7/2","Detached","03/26/26","RE/MAX Real Estate Connections (RAES4)","$4,447,000"
"VAFX2298206","RES","C/S","8400 Martingale Dr","Mclean","Fairfax, VA","6","5/2","Detached","03/25/26","Long & Foster Real Estate, Inc. (LNG83)","$4,999,000"
"VAFX2293418","RES","C/S","731 Lawton St","Mclean","Fairfax, VA","6","6/3","Detached","03/17/26","Keller Williams Realty (KWR21)","$7,499,950"
"VAFX2293086","RES","C/S","1701 Briar Ridge Rd","Mclean","Fairfax, VA","7","7/3","Detached","02/28/26","KW Metro Center (KWR17)","$6,995,000"
"VAFX2290290","RES","C/S","1629 Seneca Ave","Mclean","Fairfax, VA","6","6/1","Detached","02/12/26","Keller Williams Realty (KWR21)","$2,700,000"
"VAFX2286896","RES","C/S","6126 Stoneham Ln","Mclean","Fairfax, VA","6","6/3","Detached","01/22/26","KW Metro Center (KWR17)","$5,995,000"
"VAFX2276566","RES","C/S","6179 Hardy Dr","Mclean","Fairfax, VA","6","6/1","Detached","10/28/25","KW Metro Center (KWR17)","$3,250,000"
"VAFX2274078","RES","C/S","1471 Waggaman Cir","Mclean","Fairfax, VA","6","7/1","Detached","10/14/25","Green Logic, Inc (MLSR1)","$4,500,000"
"VAFX2273220","RES","C/S","1707 Westmoreland St","Mclean","Fairfax, VA","7","7/1","Detached","10/07/25","Samson Properties (SAMP1)","$2,750,000"
"VAFX2269678","RES","C/S","6911 Elm St","Mclean","Fairfax, VA","7","7/3","Detached","10/01/25","Keller Williams Realty (KWR21)","$4,500,000"
"VAFX2269802","RES","C/S","1104 Sharon Ct","Mclean","Fairfax, VA","6","6/2","Detached","09/26/25","KW Metro Center (KWR17)","$3,695,000"
"VAFX2246004","RES","C/S","8437 Sparger St","Mclean","Fairfax, VA","6","7/3","Detached","06/05/25","KW Metro Center (KWR17)","$7,500,000"
"VAFX2231658","RES","C/S","8912 Gallant Green Dr","Mclean","Fairfax, VA","6","6/3","Detached","04/02/25","KW Metro Center (KWR17)","$5,995,000"
"VAFX2213682","RES","C/S","6330 Cross St","Mclean","Fairfax, VA","5","5/2","Detached","12/06/24","Green Logic, Inc (MLSR1)","$3,250,000"
"VAFX2325744","RES","ACT","6800 Fleetwood Rd #414","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","07/02/26","BEYCOME BROKERAGE REALTY LLC (BEYCOM01)","$259,900"
"VAFX2325688","RES","ACT","1808 Old Meadow Rd #418","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","07/02/26","Samson Properties (SAMP1)","$325,000"
"VAFX2286236","RES","ACT","7621 Provincial Dr #312","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","07/02/26","eXp Realty LLC (EXPY12)","$274,888"
"VAFX2318932","RES","ACT","7600 Tremayne Pl #203","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","07/02/26","Long & Foster Real Estate, Inc. (LNG51)","$375,000"
"VAFX2324448","RES","ACT","1800 Old Meadow Rd #1014","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/30/26","Galaxy Realty LLC (GLXY1)","$429,900"
"VAFX2324230","RES","ACT","1320 Lessard Ln","Mclean","Fairfax, VA","4","3/2","End of Row/Townhouse","07/01/26","Real Broker, LLC (REKL1)","$1,289,000"
"VAFX2324446","RES","ACT","7545 Potomac Fall Rd","Mclean","Fairfax, VA","6","6/2","Detached","06/29/26","Samson Properties (SAMP1)","$2,899,500"
"VAFX2324138","RES","ACT","1571 Spring Gate Dr #6106","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","07/02/26","Fairfax Realty Select (FXR1)","$353,000"
"VAFX2324198","RES","ACT","1530 Spring Gate Dr #9208","Mclean","Fairfax, VA","3","2","Unit/Flat/Apartment","07/01/26","NBI Realty LLC (NBI2)","$579,000"
"VAFX2324120","RES","ACT","6718 Lowell Ave #407","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","06/27/26","McWilliams/Ballard Inc. (MCWB1)","$1,289,900"
"VAFX2323994","RES","ACT","8305 Fox Haven Dr","Mclean","Fairfax, VA","5","7/2","Detached","06/27/26","Washington Fine Properties, LLC (WFP4)","$4,299,000"
"VAFX2323014","RES","ACT","1808 Old Meadow Rd #503","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/27/26","Samson Properties (SAMP4)","$314,900"
"VAFX2323830","RES","ACT","1459 Dewberry Ct","Mclean","Fairfax, VA","6","6/2","Detached","06/27/26","Douglas Elliman of Metro DC, LLC (DEMDC3)","$2,795,000"
"VAFX2322600","RES","ACT","1530 Lincoln Way #203A","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/25/26","Samson Properties (SAMP1)","$303,000"
"VAFX2323530","RES","ACT","8370 Greensboro Dr #908","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","06/25/26","Weichert, REALTORS (WEI69)","$494,900"
"VAFX2323582","RES","ACT","8360 Greensboro Dr #307","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/25/26","TTR Sothebys International Realty (TTRS3)","$559,000"
"VAFX2323436","RES","ACT","1580 Spring Gate Dr #4415","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/24/26","Signature Home Realty LLC (PHHR1)","$345,000"
"VAFX2323256","RES","ACT","1646 La Salle Ave","Mclean","Fairfax, VA","4","3","Detached","06/26/26","RE/MAX Gateway (RMAX151)","$1,150,000"
"VAFX2323200","RES","ACT","1644 La Salle Ave","Mclean","Fairfax, VA","4","3","Detached","06/26/26","RE/MAX Gateway (RMAX151)","$1,150,000"
"VAFX2322322","RES","ACT","1733 Chain Bridge Rd","Mclean","Fairfax, VA","5","5/1","Detached","06/25/26","Samson Properties (SAMP24)","$2,599,900"
"VAFX2323040","RES","ACT","1341 Monitor Ln","Mclean","Fairfax, VA","5","5/1","Detached","06/25/26","Compass (COMPS6)","$2,795,000"
"VAFX2322804","RES","ACT","1719 Melbourne Dr","Mclean","Fairfax, VA","4","3/0","Detached","07/01/26","BNI Realty (BNI1)","$1,349,999"
"VAFX2322866","RES","ACT","1434 Waggaman Cir","Mclean","Fairfax, VA","6","6/1","Detached","06/22/26","Keller Williams Realty (KWR21)","$4,099,000"
"VAFX2321604","RES","ACT","7328 Aynsley Ln","Mclean","Fairfax, VA","4","3/1","Interior Row/Townhouse","07/03/26","Keller Williams Realty (KWR21)","$1,175,000"
"VAFX2322642","RES","ACT","8370 Greensboro Dr #420","Mclean","Fairfax, VA","1","1/1","Unit/Flat/Apartment","06/26/26","Pearson Smith Realty, LLC (PSTH3)","$409,900"
"VAFX2321880","RES","ACT","1923 Wilson Ln #201","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/24/26","Samson Properties (SAMP1)","$295,000"
"VAFX2310990","RES","ACT","6622 Madison McLean Dr","Mclean","Fairfax, VA","3","3/1","Interior Row/Townhouse","06/19/26","Serhant (SERH2)","$1,499,000"
"VAFX2301940","RES","ACT","7640 Provincial Dr #110","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","06/19/26","Realty ONE Group Capital (ROGC1)","$375,000"
"VAFX2321548","RES","ACT","8220 Crestwood Heights Dr #1614","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/19/26","Realty ONE Group Capital (ROGC1)","$575,000"
"VAFX2322246","RES","ACT","6700 Lupine Ln","Mclean","Fairfax, VA","7","8/2","Detached","06/22/26","TTR Sotheby's International Realty (TTRS2)","$5,975,000"
"VAFX2322216","RES","ACT","8350 Greensboro Dr #1009","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","06/18/26","Long & Foster Real Estate, Inc. (LNG78)","$419,900"
"VAFX2321492","RES","ACT","1534 Lincoln Way #204","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/17/26","Samson Properties (SAMP1)","$298,000"
"VAFX2321584","RES","ACT","8360 Greensboro Dr #306","Mclean","Fairfax, VA","1","1/1","Unit/Flat/Apartment","06/17/26","Keller Williams Realty (KWR21)","$460,000"
"VAFX2318940","RES","ACT","6740 Towne Lane Rd","Mclean","Fairfax, VA","4","2/2","End of Row/Townhouse","06/18/26","Real Broker, LLC (REKL1)","$1,159,900"
"VAFX2321156","RES","ACT","6900 Southridge Dr","Mclean","Fairfax, VA","5","3","Detached","07/01/26","Keller Williams Realty (KWR21)","$1,299,900"
"VAFX2321176","RES","ACT","6008 Oakdale Rd","Mclean","Fairfax, VA","7","7/1","Detached","06/21/26","Compass (COMPS4)","$5,295,000"
"VAFX2320410","RES","ACT","1504 Lincoln Way #308","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/19/26","EXP Realty, LLC (EXPY4)","$259,000"
"VAFX2319190","RES","ACT","6529 Fairlawn Dr","Mclean","Fairfax, VA","6","5/1","Detached","06/15/26","Realty Aspire (NRRI2)","$3,690,000"
"VAFX2320920","RES","ACT","5840 Hilldon St","Mclean","Fairfax, VA","7","7/1","Detached","06/21/26","Compass (COMPS4)","$4,795,000"
"VAFX2320926","RES","ACT","1805 Great Falls St","Mclean","Fairfax, VA","4","3","Detached","06/19/26","Fairfax Realty (FRX4)","$1,299,900"
"VAFX2319124","RES","ACT","7821 Old Falls Rd","Mclean","Fairfax, VA","7","6/1","Detached","06/12/26","Compass (COMPS2)","$2,880,000"
"VAFX2319718","RES","ACT","1521 Spring Gate Dr #10406","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/12/26","Keller Williams Realty (KWR18)","$370,000"
"VAFX2320546","RES","ACT","1524 Pathfinder Ln","Mclean","Fairfax, VA","6","3/2","Detached","06/12/26","Pearson Smith Realty, LLC (PSTH3)","$1,500,000"
"VAFX2319394","RES","ACT","5921 Chesterbrook Rd","Mclean","Fairfax, VA","6","4/1","Detached","06/12/26","Berkshire Hathaway HomeServices PenFed Realty (PFED6)","$2,650,000"
"VAFX2320592","RES","ACT","1734 McKenna Point Dr #1608","Mclean","Fairfax, VA","3","2/1","Unit/Flat/Apartment","06/12/26","NetRealtyNow.com, LLC (NRN2)","$1,300,000"
"VAFX2315452","RES","ACT","1521 Lincoln Way #104A","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","06/11/26","Long & Foster Real Estate, Inc. (LNG80)","$299,000"
"VAFX2318734","RES","ACT","6519 Brawner St","Mclean","Fairfax, VA","7","9/1","Detached","06/11/26","Compass (COMPS5)","$5,695,888"
"VAFX2320512","RES","ACT","7640 Provincial Dr #204","Mclean","Fairfax, VA","3","2/1","Unit/Flat/Apartment","06/11/26","Samson Properties (SAMP5)","$519,500"
"VAFX2317318","RES","ACT","1524 Lincoln Way #107","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/11/26","Redfin Corporation (REFC1)","$299,900"
"VAFX2316316","RES","ACT","8380 Greensboro Dr #1017","Mclean","Fairfax, VA","2","2/0","Penthouse Unit/Flat/Apartment","06/11/26","TTR Sothebys International Realty (TTRS3)","$515,000"
"VAFX2299728","RES","ACT","7575 Potomac Falls Rd","Mclean","Fairfax, VA","3","3/1","Detached","06/11/26","Washington Fine Properties, LLC (WFP4)","$2,250,000"
"VAFX2318794","RES","ACT","7700 Old Dominion Dr","Mclean","Fairfax, VA","3","3","Detached","06/17/26","TTR Sothebys International Realty (TTRS3)","$2,035,000"
"VAFX2316650","RES","ACT","7818 Crownhurst Ct","Mclean","Fairfax, VA","6","6/2","Detached","06/12/26","TTR Sotheby's International Realty (TTRS8)","$3,899,000"
"VAFX2318962","RES","ACT","1905 Lamson Pl","Mclean","Fairfax, VA","7","7/1","Detached","06/09/26","Innovation Properties, LLC (ZOOME1)","$2,950,000"
"VAFX2318760","RES","ACT","6928 Girard St","Mclean","Fairfax, VA","7","6/1","Detached","06/09/26","Innovation Properties, LLC (ZOOME1)","$2,825,000"
"VAFX2318692","RES","ACT","8370 Greensboro Dr #510","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/09/26","Keller Williams Realty (KWR21)","$485,000"
"VAFX2318918","RES","ACT","8220 Crestwood Heights Dr #1410","Mclean","Fairfax, VA","1","2","Unit/Flat/Apartment","06/09/26","Keller Williams Realty (KWR21)","$625,000"
"VAFX2317896","RES","ACT","1571 Spring Gate Dr #6206","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","06/11/26","Diba Properties (DIBA1)","$329,000"
"VAFX2315610","RES","ACT","7348 Lewinsville Square Pl","Mclean","Fairfax, VA","3","3/1","End of Row/Townhouse","06/18/26","TTR Sothebys International Realty (TTRS3)","$1,225,000"
"VAFX2318462","RES","ACT","7721 Tremayne Pl #204","Mclean","Fairfax, VA","3","2/1","Unit/Flat/Apartment","06/12/26","Keller Williams Realty (KWR21)","$595,000"
"VAFX2318782","RES","ACT","1650 Silver Hill Dr #1807","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","06/08/26","SilverLine Realty & Investment LLC (COMT1)","$1,299,000"
"VAFX2318520","RES","ACT","1803 Dumbarton St","Mclean","Fairfax, VA","5","7/1","Detached","06/07/26","Compass (COMPS5)","$4,500,000"
"VAFX2318582","RES","ACT","7600 Tremayne Pl #110","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/11/26","Long & Foster Real Estate, Inc. (LNG51)","$249,000"
"VAFX2316970","RES","ACT","1591 Spring Gate Dr #3311","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/05/26","Serhant (SERH3)","$360,000"
"VAFX2303364","RES","ACT","6450 Old Chesterbrook Rd","Mclean","Fairfax, VA","4","2/0","Detached","06/12/26","Keller Williams Realty (KWR21)","$1,149,900"
"VAFX2311656","RES","ACT","1961 Kennedy Dr #1961","Mclean","Fairfax, VA","2","2/1","Interior Row/Townhouse","06/11/26","Samson Properties (SAMP4)","$499,900"
"VAFX2316474","RES","ACT","7112 Georgetown Pike","Mclean","Fairfax, VA","7","7/2","Detached","06/04/26","Long & Foster Real Estate, Inc. (LNG83)","$4,199,000"
"VAFX2318150","RES","ACT","1524 Lincoln Way #416","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/06/26","Fairfax Realty of Tysons (FRX2)","$277,000"
"VAFX2317868","RES","ACT","7621 Provincial Dr #211","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/25/26","Samson Properties (SAMP14)","$375,000"
"VAFX2316704","RES","ACT","1530 Spring Gate Dr #9113","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/04/26","Long & Foster Real Estate, Inc. (LNG51)","$339,000"
"VAFX2317198","RES","ACT","1124 Savile Ln","Mclean","Fairfax, VA","8","9/3","Detached","06/03/26","Compass (COMPS5)","$4,999,995"
"VAFX2313340","RES","ACT","1405 Woodhurst Blvd","Mclean","Fairfax, VA","4","4/1","Detached","07/02/26","Compass (COMPS5)","$2,649,900"
"VAFX2312486","RES","ACT","1581 Spring Gate Dr #5314","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","06/03/26","EXP Realty, LLC (EXPY4)","$300,000"
"VAFX2317558","RES","ACT","8111 Georgetown Pike","Mclean","Fairfax, VA","6","6/3","Detached","06/03/26","KW Metro Center (KWR9)","$6,999,888"
"VAFX2316760","RES","ACT","8340 Greensboro Dr #625","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/02/26","Keller Williams Realty (KWR18)","$425,000"
"VAFX2317206","RES","ACT","7538 Sawyer Farm Way #1414","Mclean","Fairfax, VA","3","2/1","Penthouse Unit/Flat/Apartment","06/02/26","KW Metro Center (KWR9)","$1,224,888"
"VAFX2312344","RES","ACT","7829 Enola St #101","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/02/26","Compass (COMPS1)","$275,000"
"VAFX2316648","RES","ACT","1761 Old Meadow Rd #220","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","06/04/26","Samson Properties (SAMP37)","$849,000"
"VAFX2315260","RES","ACT","1332 McCay Ln","Mclean","Fairfax, VA","6","7/3","Detached","06/11/26","TTR Sotheby's International Realty (TTRS15)","$9,500,000"
"VAFX2316916","RES","ACT","7002 River Oaks Dr","Mclean","Fairfax, VA","6","6/2","Detached","06/01/26","Washington Fine Properties, LLC (WFP4)","$3,999,000"
"VAFX2314368","RES","ACT","1800 Old Meadow Rd #713","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/03/26","Spring Hill Real Estate, LLC. (SHIL1)","$447,000"
"VAFX2310744","RES","ACT","7382 Magarity Rd","Mclean","Fairfax, VA","3","2/3","Interior Row/Townhouse","06/04/26","EXP Realty, LLC (EXPY11)","$1,389,000"
"VAFX2316374","RES","ACT","8340 Greensboro Dr #906","Mclean","Fairfax, VA","2","1/1","Unit/Flat/Apartment","06/01/26","Homecoin.com (HMECOIN1)","$470,000"
"VAFX2316540","RES","ACT","1800 Old Meadow Rd #920","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/02/26","Compass (COMPS2)","$445,000"
"VAFX2315490","RES","ACT","6220 Hardy Dr","Mclean","Fairfax, VA","4","3","Detached","06/19/26","Weichert, REALTORS (WEI69)","$1,549,000"
"VAFX2293954","RES","ACT","6800 Fleetwood Rd #601","Mclean","Fairfax, VA","3","2/0","Unit/Flat/Apartment","05/29/26","God & Country Real Properties (GNCRP1)","$625,000"
"VAFX2315302","RES","ACT","8220 Crestwood Heights Dr #407","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","05/30/26","Samson Properties (SAMP33)","$965,000"
"VAFX2315972","RES","ACT","1650 Silver Hill Dr #2009","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/02/26","TTR Sothebys International Realty (TTRS3)","$649,555"
"VAFX2315984","RES","ACT","8220 Crestwood Heights Dr #1417","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","05/29/26","Long & Foster Real Estate, Inc. (LNG83)","$818,995"
"VAFX2316108","RES","ACT","1465 Mayhurst Blvd","Mclean","Fairfax, VA","7","5/1","Detached","05/29/26","RE/MAX Executives (RMAX202)","$3,185,000"
"VAFX2313296","RES","ACT","6619 Byrnes Dr","Mclean","Fairfax, VA","7","5/1","Detached","06/04/26","Weichert, REALTORS (WEI70)","$2,749,000"
"VAFX2315958","RES","ACT","1580 Spring Gate Dr #4310","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/14/26","Long & Foster Real Estate, Inc. (LNG1)","$385,000"
"VAFX2314558","RES","ACT","6659 Madison McLean Dr","Mclean","Fairfax, VA","3","3/1","Interior Row/Townhouse","05/28/26","Keller Williams Realty (KWR21)","$1,450,000"
"VAFX2315242","RES","ACT","1608 Westmoreland St","Mclean","Fairfax, VA","4","3","Detached","06/12/26","Maram Realty, LLC (MARAM1)","$1,399,000"
"VAFX2315384","RES","ACT","8360 Greensboro Dr #102","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/01/26","KW Metro Center (KWR9)","$409,000"
"VAFX2315380","RES","ACT","6732 Churchill Rd","Mclean","Fairfax, VA","6","5/1","Detached","05/26/26","Keller Williams Realty (KWR21)","$2,099,000"
"VAFX2314536","RES","ACT","700 Belgrove Rd","Mclean","Fairfax, VA","6","7/1","End of Row/Townhouse","06/04/26","Long & Foster Real Estate, Inc. (LNG1)","$3,150,000"
"VAFX2314274","RES","ACT","1570 Spring Gate Dr #7203","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","05/21/26","Evergreen Properties (EVG2)","$490,000"
"VAFX2314514","RES","ACT","1761 Old Meadow Rd #106","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","05/25/26","Samson Properties (SAMP1)","$990,000"
"VAFX2313522","RES","ACT","7205 Enterprise Ave","Mclean","Fairfax, VA","6","6/0","Detached","05/21/26","Cottage Street Realty LLC (CTST1)","$2,589,000"
"VAFX2313396","RES","ACT","1806 Barbee St","Mclean","Fairfax, VA","7","7/1","Detached","05/20/26","Innovation Properties, LLC (ZOOME1)","$3,050,000"
"VAFX2311348","RES","ACT","1903 Torregrossa Ct","Mclean","Fairfax, VA","7","6/1","Detached","05/31/26","Premiere Realty (PMEE1)","$2,859,000"
"VAFX2312550","RES","ACT","1580 Spring Gate Dr #4303","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","05/28/26","EXP Realty, LLC (EXXP33)","$489,000"
"VAFX2312606","RES","ACT","8380 Greensboro Dr #323","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","05/15/26","Fairfax Realty of Tysons (FRX2)","$429,000"
"VAFX2312504","RES","ACT","6329 Halsey Rd","Mclean","Fairfax, VA","6","6/2","Detached","05/15/26","Compass (COMPS5)","$3,549,950"
"VAFX2310676","RES","ACT","7841 Old Dominion Dr","Mclean","Fairfax, VA","6","7/2","Detached","05/20/26","MCM Realty Company (MAR1)","$7,250,000"
"VAFX2311864","RES","ACT","1608 Wrightson Dr","Mclean","Fairfax, VA","6","6/1","Detached","05/14/26","Compass (COMPS5)","$3,199,995"
"VAFX2311740","RES","ACT","1607 Hunting Ave","Mclean","Fairfax, VA","5","4/1","Detached","05/13/26","Beacon Crest Real Estate LLC (BCEE1)","$2,049,000"
"VAFX2306390","RES","ACT","7640 Tremayne Pl #102","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","06/05/26","KW United (KWR30)","$385,000"
"VAFX2311364","RES","ACT","6426 Noble Dr","Mclean","Fairfax, VA","4","2","Detached","05/12/26","Key Realty Group I LLC (KERG1)","$1,799,999"
"VAFX2310826","RES","ACT","1761 Old Meadow Rd #313","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","05/08/26","Libra Realty, LLC (LRL1)","$859,000"
"VAFX2310364","RES","ACT","8220 Crestwood Heights Dr #314","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","05/14/26","Fathom Realty (FTHM3)","$499,800"
"VAFX2309524","RES","ACT","1601 Spring Gate Dr #1303","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","05/07/26","Soldsense (SLDS1)","$479,000"
"VAFX2308134","RES","ACT","1641 International Dr #412","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","05/07/26","Redfin Corporation (REFC1)","$499,900"
"VAFX2310134","RES","ACT","1800 Monza Rd","Mclean","Fairfax, VA","7","6/2","Detached","05/06/26","KW Metro Center (KWR17)","$3,995,000"
"VAFX2309970","RES","ACT","1800 Old Meadow Rd #903","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","05/14/26","Samson Properties (SAMP1)","$429,999"
"VAFX2304990","RES","ACT","6933 Espey Ln","Mclean","Fairfax, VA","6","6/2","Detached","05/04/26","Washington Fine Properties, LLC (WFP4)","$3,675,000"
"VAFX2307128","RES","ACT","8970 Brook Road","Mclean","Fairfax, VA","6","7/2","Detached","05/04/26","TTR Sotheby's International Realty (TTRS15)","$7,250,000"
"VAFX2309194","RES","ACT","6718 Lowell Ave #506","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","05/03/26","McWilliams/Ballard Inc. (MCWB1)","$1,549,900"
"VAFX2306566","RES","ACT","8020 Greenwich Woods Dr","Mclean","Fairfax, VA","4","6/1","Detached","05/03/26","Proplocate Realty (PROL1)","$4,150,000"
"VAFX2308172","RES","ACT","6514 Byrnes Dr","Mclean","Fairfax, VA","6","6/2","Detached","05/01/26","Keller Williams Realty (KWR21)","$3,375,950"
"VAFX2308128","RES","ACT","7720 Tremayne Pl #111","Mclean","Fairfax, VA","3","2","Penthouse Unit/Flat/Apartment","05/01/26","Compass (COMPS5)","$559,900"
"VAFX2307474","RES","ACT","6413 Noble Dr","Mclean","Fairfax, VA","5","3/0","Detached","06/03/26","Weichert, REALTORS (WEI70)","$1,499,950"
"VAFX2278872","RES","ACT","1200 Jossie Ln","Mclean","Fairfax, VA","5","5/3","Detached","04/30/26","Compass (COMPS5)","$5,595,000"
"VAFX2307484","RES","ACT","6228 Nelway Dr","Mclean","Fairfax, VA","7","7/1","Detached","04/29/26","Innovation Properties, LLC (ZOOME1)","$2,950,000"
"VAFX2307392","RES","ACT","1914 Birch Rd","Mclean","Fairfax, VA","3","2/1","Other","04/29/26","TTR Sotheby's International Realty (TTRS15)","$1,999,000"
"VAFX2307078","RES","ACT","969 Spencer Rd","Mclean","Fairfax, VA","6","3/1","Detached","06/18/26","KW United (KWR30)","$2,000,000"
"VAFX2306792","RES","ACT","1324 Titania Ln","Mclean","Fairfax, VA","6","6/2","Detached","04/28/26","Samson Properties (SAMP6)","$3,299,000"
